===== AR (diffusion mu=on) STARTED Mon Jul 27 11:34:54 CEST 2026 =====
objective=diffusion mu=on params=2.209M steps=50000 diff_steps=3 norm=std
step      0 | loss 1.0059 | aux 0.9921 | lr 2.00e-07 | 0.3 it/s
step    100 | loss 0.9908 | aux 0.9779 | lr 2.02e-05 | 0.5 it/s
step    200 | loss 0.8297 | aux 0.8191 | lr 4.02e-05 | 0.5 it/s
step    300 | loss 0.5776 | aux 0.5695 | lr 6.02e-05 | 0.5 it/s
step    400 | loss 0.4312 | aux 0.4242 | lr 8.02e-05 | 0.4 it/s
step    500 | loss 0.3766 | aux 0.3705 | lr 1.00e-04 | 0.4 it/s
step    600 | loss 0.3414 | aux 0.3360 | lr 1.20e-04 | 0.4 it/s
step    700 | loss 0.3156 | aux 0.3107 | lr 1.40e-04 | 0.4 it/s
step    800 | loss 0.2933 | aux 0.2887 | lr 1.60e-04 | 0.4 it/s
step    900 | loss 0.2669 | aux 0.2626 | lr 1.80e-04 | 0.4 it/s
step   1000 | loss 0.2625 | aux 0.2582 | lr 2.00e-04 | 0.4 it/s
step   1100 | loss 0.2663 | aux 0.2620 | lr 2.00e-04 | 0.4 it/s
step   1200 | loss 0.2562 | aux 0.2520 | lr 2.00e-04 | 0.4 it/s
step   1300 | loss 0.2657 | aux 0.2615 | lr 2.00e-04 | 0.4 it/s
step   1400 | loss 0.2476 | aux 0.2436 | lr 2.00e-04 | 0.4 it/s
step   1500 | loss 0.2484 | aux 0.2444 | lr 2.00e-04 | 0.4 it/s
step   1600 | loss 0.2520 | aux 0.2480 | lr 2.00e-04 | 0.4 it/s
step   1700 | loss 0.2411 | aux 0.2372 | lr 2.00e-04 | 0.4 it/s
step   1800 | loss 0.2237 | aux 0.2200 | lr 2.00e-04 | 0.4 it/s
step   1900 | loss 0.2315 | aux 0.2278 | lr 2.00e-04 | 0.4 it/s
step   2000 | loss 0.2309 | aux 0.2272 | lr 2.00e-04 | 0.4 it/s
