===== AR-CONVLSTM STARTED Sun Jul 26 18:45:57 CEST 2026 =====
AR-ConvLSTM params=0.602M steps=50000 batch=256 lr=0.0002
step      0 | mse 2.2093 | lr 2.00e-07 | 0.5 it/s
step    100 | mse 1.2625 | lr 2.02e-05 | 1.3 it/s
step    200 | mse 0.5715 | lr 4.02e-05 | 1.4 it/s
step    300 | mse 0.4770 | lr 6.02e-05 | 1.4 it/s
step    400 | mse 0.4610 | lr 8.02e-05 | 1.4 it/s
step    500 | mse 0.4272 | lr 1.00e-04 | 1.4 it/s
step    600 | mse 0.3985 | lr 1.20e-04 | 1.4 it/s
step    700 | mse 0.3678 | lr 1.40e-04 | 1.4 it/s
step    800 | mse 0.3446 | lr 1.60e-04 | 1.4 it/s
step    900 | mse 0.3322 | lr 1.80e-04 | 1.4 it/s
step   1000 | mse 0.3145 | lr 2.00e-04 | 1.4 it/s
step   1100 | mse 0.3257 | lr 2.00e-04 | 1.4 it/s
step   1200 | mse 0.3147 | lr 2.00e-04 | 1.4 it/s
step   1300 | mse 0.2931 | lr 2.00e-04 | 1.4 it/s
step   1400 | mse 0.2824 | lr 2.00e-04 | 1.4 it/s
step   1500 | mse 0.2962 | lr 2.00e-04 | 1.4 it/s
step   1600 | mse 0.2743 | lr 2.00e-04 | 1.4 it/s
step   1700 | mse 0.2805 | lr 2.00e-04 | 1.4 it/s
step   1800 | mse 0.2604 | lr 2.00e-04 | 1.4 it/s
step   1900 | mse 0.2747 | lr 2.00e-04 | 1.4 it/s
step   2000 | mse 0.2669 | lr 2.00e-04 | 1.4 it/s
  [eval] step 2000 | EMA avg NMSE -5.14 dB (step1 -13.91, step10 -2.14)
step   2100 | mse 0.2505 | lr 2.00e-04 | 1.4 it/s
step   2200 | mse 0.2544 | lr 2.00e-04 | 1.4 it/s
step   2300 | mse 0.2745 | lr 2.00e-04 | 1.4 it/s
step   2400 | mse 0.2555 | lr 2.00e-04 | 1.4 it/s
step   2500 | mse 0.2537 | lr 2.00e-04 | 1.4 it/s
step   2600 | mse 0.2509 | lr 1.99e-04 | 1.4 it/s
step   2700 | mse 0.2313 | lr 1.99e-04 | 1.4 it/s
step   2800 | mse 0.2563 | lr 1.99e-04 | 1.4 it/s
step   2900 | mse 0.2357 | lr 1.99e-04 | 1.4 it/s
step   3000 | mse 0.2328 | lr 1.99e-04 | 1.4 it/s
step   3100 | mse 0.2264 | lr 1.99e-04 | 1.4 it/s
step   3200 | mse 0.2358 | lr 1.99e-04 | 1.4 it/s
