===== DIFFUSION TRAIN STARTED AT Thu Jul  2 17:25:11 CEST 2026 =====
device=cuda out_dir=runs/diu_6793522 steps=80000 batch=512 lr=0.001
building fixed validation set ...
step      0 | huber 0.0078 | lr 1.00e-06 | 0.3 it/s
step    100 | huber 0.0047 | lr 1.01e-04 | 0.8 it/s
step    200 | huber 0.0031 | lr 2.01e-04 | 0.8 it/s
step    300 | huber 0.0027 | lr 3.01e-04 | 0.8 it/s
step    400 | huber 0.0024 | lr 4.01e-04 | 0.8 it/s
step    500 | huber 0.0023 | lr 5.01e-04 | 0.8 it/s
step    600 | huber 0.0021 | lr 6.01e-04 | 0.8 it/s
step    700 | huber 0.0021 | lr 7.01e-04 | 0.8 it/s
step    800 | huber 0.0020 | lr 8.01e-04 | 0.8 it/s
step    900 | huber 0.0019 | lr 9.01e-04 | 0.8 it/s
step   1000 | huber 0.0019 | lr 1.00e-03 | 0.8 it/s
step   1100 | huber 0.0019 | lr 1.00e-03 | 0.8 it/s
step   1200 | huber 0.0018 | lr 1.00e-03 | 0.8 it/s
step   1300 | huber 0.0018 | lr 1.00e-03 | 0.8 it/s
step   1400 | huber 0.0017 | lr 1.00e-03 | 0.8 it/s
step   1500 | huber 0.0017 | lr 1.00e-03 | 0.8 it/s
step   1600 | huber 0.0016 | lr 1.00e-03 | 0.8 it/s
step   1700 | huber 0.0016 | lr 1.00e-03 | 0.8 it/s
step   1800 | huber 0.0016 | lr 1.00e-03 | 0.8 it/s
step   1900 | huber 0.0015 | lr 1.00e-03 | 0.8 it/s
step   2000 | huber 0.0015 | lr 1.00e-03 | 0.8 it/s
  [eval] step 2000 | EMA avg NMSE -1.96 dB (step1 -11.88, step10 1.29)
step   2100 | huber 0.0015 | lr 1.00e-03 | 0.8 it/s
step   2200 | huber 0.0015 | lr 9.99e-04 | 0.8 it/s
step   2300 | huber 0.0015 | lr 9.99e-04 | 0.8 it/s
step   2400 | huber 0.0015 | lr 9.99e-04 | 0.8 it/s
step   2500 | huber 0.0014 | lr 9.99e-04 | 0.8 it/s
step   2600 | huber 0.0014 | lr 9.99e-04 | 0.8 it/s
step   2700 | huber 0.0014 | lr 9.99e-04 | 0.8 it/s
step   2800 | huber 0.0014 | lr 9.99e-04 | 0.8 it/s
step   2900 | huber 0.0014 | lr 9.99e-04 | 0.8 it/s
step   3000 | huber 0.0014 | lr 9.98e-04 | 0.8 it/s
step   3100 | huber 0.0014 | lr 9.98e-04 | 0.8 it/s
step   3200 | huber 0.0013 | lr 9.98e-04 | 0.8 it/s
step   3300 | huber 0.0013 | lr 9.98e-04 | 0.8 it/s
step   3400 | huber 0.0013 | lr 9.98e-04 | 0.8 it/s
step   3500 | huber 0.0013 | lr 9.98e-04 | 0.8 it/s
step   3600 | huber 0.0013 | lr 9.97e-04 | 0.8 it/s
step   3700 | huber 0.0014 | lr 9.97e-04 | 0.8 it/s
step   3800 | huber 0.0014 | lr 9.97e-04 | 0.8 it/s
step   3900 | huber 0.0013 | lr 9.97e-04 | 0.8 it/s
step   4000 | huber 0.0013 | lr 9.96e-04 | 0.8 it/s
  [eval] step 4000 | EMA avg NMSE -4.77 dB (step1 -15.55, step10 -1.10)
step   4100 | huber 0.0013 | lr 9.96e-04 | 0.8 it/s
step   4200 | huber 0.0013 | lr 9.96e-04 | 0.8 it/s
step   4300 | huber 0.0013 | lr 9.96e-04 | 0.8 it/s
step   4400 | huber 0.0013 | lr 9.95e-04 | 0.8 it/s
step   4500 | huber 0.0013 | lr 9.95e-04 | 0.8 it/s
step   4600 | huber 0.0013 | lr 9.95e-04 | 0.8 it/s
step   4700 | huber 0.0013 | lr 9.95e-04 | 0.8 it/s
step   4800 | huber 0.0013 | lr 9.94e-04 | 0.8 it/s
step   4900 | huber 0.0013 | lr 9.94e-04 | 0.8 it/s
step   5000 | huber 0.0012 | lr 9.94e-04 | 0.8 it/s
step   5100 | huber 0.0013 | lr 9.93e-04 | 0.8 it/s
step   5200 | huber 0.0013 | lr 9.93e-04 | 0.8 it/s
step   5300 | huber 0.0013 | lr 9.93e-04 | 0.8 it/s
step   5400 | huber 0.0013 | lr 9.92e-04 | 0.8 it/s
step   5500 | huber 0.0013 | lr 9.92e-04 | 0.8 it/s
step   5600 | huber 0.0012 | lr 9.92e-04 | 0.8 it/s
step   5700 | huber 0.0013 | lr 9.91e-04 | 0.8 it/s
step   5800 | huber 0.0012 | lr 9.91e-04 | 0.8 it/s
step   5900 | huber 0.0012 | lr 9.91e-04 | 0.8 it/s
step   6000 | huber 0.0013 | lr 9.90e-04 | 0.8 it/s
  [eval] step 6000 | EMA avg NMSE -5.99 dB (step1 -16.82, step10 -2.35)
step   6100 | huber 0.0013 | lr 9.90e-04 | 0.8 it/s
step   6200 | huber 0.0012 | lr 9.89e-04 | 0.8 it/s
step   6300 | huber 0.0012 | lr 9.89e-04 | 0.8 it/s
step   6400 | huber 0.0012 | lr 9.89e-04 | 0.8 it/s
step   6500 | huber 0.0013 | lr 9.88e-04 | 0.8 it/s
step   6600 | huber 0.0012 | lr 9.88e-04 | 0.8 it/s
step   6700 | huber 0.0012 | lr 9.87e-04 | 0.8 it/s
step   6800 | huber 0.0013 | lr 9.87e-04 | 0.8 it/s
step   6900 | huber 0.0012 | lr 9.86e-04 | 0.8 it/s
step   7000 | huber 0.0012 | lr 9.86e-04 | 0.8 it/s
step   7100 | huber 0.0012 | lr 9.86e-04 | 0.8 it/s
step   7200 | huber 0.0012 | lr 9.85e-04 | 0.8 it/s
step   7300 | huber 0.0013 | lr 9.85e-04 | 0.8 it/s
step   7400 | huber 0.0012 | lr 9.84e-04 | 0.8 it/s
step   7500 | huber 0.0012 | lr 9.84e-04 | 0.8 it/s
step   7600 | huber 0.0012 | lr 9.83e-04 | 0.8 it/s
step   7700 | huber 0.0012 | lr 9.83e-04 | 0.8 it/s
step   7800 | huber 0.0012 | lr 9.82e-04 | 0.8 it/s
step   7900 | huber 0.0012 | lr 9.81e-04 | 0.8 it/s
step   8000 | huber 0.0012 | lr 9.81e-04 | 0.8 it/s
  [eval] step 8000 | EMA avg NMSE -6.52 dB (step1 -17.80, step10 -2.80)
step   8100 | huber 0.0012 | lr 9.80e-04 | 0.8 it/s
step   8200 | huber 0.0012 | lr 9.80e-04 | 0.8 it/s
step   8300 | huber 0.0012 | lr 9.79e-04 | 0.8 it/s
step   8400 | huber 0.0012 | lr 9.79e-04 | 0.8 it/s
step   8500 | huber 0.0012 | lr 9.78e-04 | 0.8 it/s
step   8600 | huber 0.0012 | lr 9.78e-04 | 0.8 it/s
step   8700 | huber 0.0012 | lr 9.77e-04 | 0.8 it/s
step   8800 | huber 0.0012 | lr 9.76e-04 | 0.8 it/s
step   8900 | huber 0.0012 | lr 9.76e-04 | 0.8 it/s
step   9000 | huber 0.0012 | lr 9.75e-04 | 0.8 it/s
step   9100 | huber 0.0012 | lr 9.75e-04 | 0.8 it/s
step   9200 | huber 0.0012 | lr 9.74e-04 | 0.8 it/s
step   9300 | huber 0.0012 | lr 9.73e-04 | 0.8 it/s
step   9400 | huber 0.0012 | lr 9.73e-04 | 0.8 it/s
step   9500 | huber 0.0011 | lr 9.72e-04 | 0.8 it/s
step   9600 | huber 0.0012 | lr 9.71e-04 | 0.8 it/s
step   9700 | huber 0.0011 | lr 9.71e-04 | 0.8 it/s
step   9800 | huber 0.0012 | lr 9.70e-04 | 0.8 it/s
step   9900 | huber 0.0012 | lr 9.69e-04 | 0.8 it/s
step  10000 | huber 0.0012 | lr 9.69e-04 | 0.8 it/s
  [eval] step 10000 | EMA avg NMSE -6.50 dB (step1 -18.31, step10 -2.73)
step  10100 | huber 0.0011 | lr 9.68e-04 | 0.8 it/s
step  10200 | huber 0.0012 | lr 9.67e-04 | 0.8 it/s
step  10300 | huber 0.0012 | lr 9.67e-04 | 0.8 it/s
step  10400 | huber 0.0012 | lr 9.66e-04 | 0.8 it/s
step  10500 | huber 0.0012 | lr 9.65e-04 | 0.8 it/s
step  10600 | huber 0.0011 | lr 9.64e-04 | 0.8 it/s
step  10700 | huber 0.0011 | lr 9.64e-04 | 0.8 it/s
step  10800 | huber 0.0012 | lr 9.63e-04 | 0.8 it/s
step  10900 | huber 0.0011 | lr 9.62e-04 | 0.8 it/s
step  11000 | huber 0.0012 | lr 9.61e-04 | 0.8 it/s
step  11100 | huber 0.0011 | lr 9.61e-04 | 0.8 it/s
step  11200 | huber 0.0012 | lr 9.60e-04 | 0.8 it/s
step  11300 | huber 0.0012 | lr 9.59e-04 | 0.8 it/s
step  11400 | huber 0.0011 | lr 9.58e-04 | 0.8 it/s
step  11500 | huber 0.0012 | lr 9.57e-04 | 0.8 it/s
step  11600 | huber 0.0012 | lr 9.57e-04 | 0.8 it/s
step  11700 | huber 0.0012 | lr 9.56e-04 | 0.8 it/s
step  11800 | huber 0.0011 | lr 9.55e-04 | 0.8 it/s
step  11900 | huber 0.0011 | lr 9.54e-04 | 0.8 it/s
step  12000 | huber 0.0011 | lr 9.53e-04 | 0.8 it/s
  [eval] step 12000 | EMA avg NMSE -6.99 dB (step1 -18.82, step10 -3.16)
step  12100 | huber 0.0012 | lr 9.53e-04 | 0.8 it/s
step  12200 | huber 0.0012 | lr 9.52e-04 | 0.8 it/s
step  12300 | huber 0.0011 | lr 9.51e-04 | 0.8 it/s
step  12400 | huber 0.0012 | lr 9.50e-04 | 0.8 it/s
step  12500 | huber 0.0012 | lr 9.49e-04 | 0.8 it/s
step  12600 | huber 0.0011 | lr 9.48e-04 | 0.8 it/s
step  12700 | huber 0.0011 | lr 9.47e-04 | 0.8 it/s
step  12800 | huber 0.0012 | lr 9.46e-04 | 0.8 it/s
step  12900 | huber 0.0011 | lr 9.46e-04 | 0.8 it/s
step  13000 | huber 0.0012 | lr 9.45e-04 | 0.8 it/s
step  13100 | huber 0.0011 | lr 9.44e-04 | 0.8 it/s
step  13200 | huber 0.0011 | lr 9.43e-04 | 0.8 it/s
step  13300 | huber 0.0011 | lr 9.42e-04 | 0.8 it/s
step  13400 | huber 0.0011 | lr 9.41e-04 | 0.8 it/s
step  13500 | huber 0.0011 | lr 9.40e-04 | 0.8 it/s
step  13600 | huber 0.0011 | lr 9.39e-04 | 0.8 it/s
step  13700 | huber 0.0012 | lr 9.38e-04 | 0.8 it/s
step  13800 | huber 0.0011 | lr 9.37e-04 | 0.8 it/s
step  13900 | huber 0.0011 | lr 9.36e-04 | 0.8 it/s
step  14000 | huber 0.0011 | lr 9.35e-04 | 0.8 it/s
  [eval] step 14000 | EMA avg NMSE -7.07 dB (step1 -19.15, step10 -3.11)
step  14100 | huber 0.0011 | lr 9.34e-04 | 0.8 it/s
step  14200 | huber 0.0011 | lr 9.33e-04 | 0.8 it/s
step  14300 | huber 0.0012 | lr 9.32e-04 | 0.8 it/s
step  14400 | huber 0.0011 | lr 9.31e-04 | 0.8 it/s
step  14500 | huber 0.0011 | lr 9.30e-04 | 0.8 it/s
step  14600 | huber 0.0011 | lr 9.29e-04 | 0.8 it/s
step  14700 | huber 0.0011 | lr 9.28e-04 | 0.8 it/s
step  14800 | huber 0.0011 | lr 9.27e-04 | 0.8 it/s
step  14900 | huber 0.0011 | lr 9.26e-04 | 0.8 it/s
step  15000 | huber 0.0011 | lr 9.25e-04 | 0.8 it/s
step  15100 | huber 0.0011 | lr 9.24e-04 | 0.8 it/s
step  15200 | huber 0.0011 | lr 9.23e-04 | 0.8 it/s
step  15300 | huber 0.0011 | lr 9.22e-04 | 0.8 it/s
step  15400 | huber 0.0011 | lr 9.21e-04 | 0.8 it/s
step  15500 | huber 0.0011 | lr 9.20e-04 | 0.8 it/s
step  15600 | huber 0.0011 | lr 9.19e-04 | 0.8 it/s
step  15700 | huber 0.0011 | lr 9.18e-04 | 0.8 it/s
step  15800 | huber 0.0011 | lr 9.17e-04 | 0.8 it/s
step  15900 | huber 0.0011 | lr 9.16e-04 | 0.8 it/s
step  16000 | huber 0.0011 | lr 9.15e-04 | 0.8 it/s
  [eval] step 16000 | EMA avg NMSE -7.49 dB (step1 -19.51, step10 -3.52)
step  16100 | huber 0.0011 | lr 9.13e-04 | 0.8 it/s
step  16200 | huber 0.0011 | lr 9.12e-04 | 0.8 it/s
step  16300 | huber 0.0011 | lr 9.11e-04 | 0.8 it/s
step  16400 | huber 0.0011 | lr 9.10e-04 | 0.8 it/s
step  16500 | huber 0.0011 | lr 9.09e-04 | 0.8 it/s
step  16600 | huber 0.0011 | lr 9.08e-04 | 0.8 it/s
step  16700 | huber 0.0011 | lr 9.07e-04 | 0.8 it/s
step  16800 | huber 0.0011 | lr 9.05e-04 | 0.8 it/s
step  16900 | huber 0.0011 | lr 9.04e-04 | 0.8 it/s
step  17000 | huber 0.0011 | lr 9.03e-04 | 0.8 it/s
step  17100 | huber 0.0010 | lr 9.02e-04 | 0.8 it/s
step  17200 | huber 0.0011 | lr 9.01e-04 | 0.8 it/s
