===== REGRESSION TRAIN STARTED AT Sat Jul 25 20:46:05 CEST 2026 =====
device=cuda out_dir=runs/reg_6915230 steps=50000 batch=256 lr=0.0002 (JointRegressor, joint 10-frame)
building fixed validation set ...
step      0 | mse 1.1911 | lr 2.00e-07 | 0.4 it/s
step    100 | mse 1.0099 | lr 2.02e-05 | 1.2 it/s
step    200 | mse 0.7862 | lr 4.02e-05 | 1.2 it/s
step    300 | mse 0.6364 | lr 6.02e-05 | 1.2 it/s
step    400 | mse 0.5910 | lr 8.02e-05 | 1.2 it/s
step    500 | mse 0.5618 | lr 1.00e-04 | 1.2 it/s
step    600 | mse 0.5006 | lr 1.20e-04 | 1.2 it/s
step    700 | mse 0.4414 | lr 1.40e-04 | 1.2 it/s
step    800 | mse 0.4079 | lr 1.60e-04 | 1.2 it/s
step    900 | mse 0.3767 | lr 1.80e-04 | 1.2 it/s
step   1000 | mse 0.3894 | lr 2.00e-04 | 1.2 it/s
step   1100 | mse 0.4185 | lr 2.00e-04 | 1.2 it/s
step   1200 | mse 0.4002 | lr 2.00e-04 | 1.2 it/s
step   1300 | mse 0.4266 | lr 2.00e-04 | 1.2 it/s
step   1400 | mse 0.3992 | lr 2.00e-04 | 1.2 it/s
step   1500 | mse 0.3912 | lr 2.00e-04 | 1.2 it/s
step   1600 | mse 0.4023 | lr 2.00e-04 | 1.2 it/s
step   1700 | mse 0.3784 | lr 2.00e-04 | 1.2 it/s
step   1800 | mse 0.3544 | lr 2.00e-04 | 1.2 it/s
step   1900 | mse 0.3607 | lr 2.00e-04 | 1.2 it/s
step   2000 | mse 0.3512 | lr 2.00e-04 | 1.2 it/s
  [eval] step 2000 | EMA avg NMSE -7.36 dB (step1 -11.59, step10 -5.41) | raw -7.04 dB
step   2100 | mse 0.3451 | lr 2.00e-04 | 1.2 it/s
step   2200 | mse 0.3520 | lr 2.00e-04 | 1.2 it/s
step   2300 | mse 0.3633 | lr 2.00e-04 | 1.2 it/s
step   2400 | mse 0.3390 | lr 2.00e-04 | 1.2 it/s
step   2500 | mse 0.3462 | lr 2.00e-04 | 1.2 it/s
step   2600 | mse 0.3237 | lr 1.99e-04 | 1.2 it/s
step   2700 | mse 0.2954 | lr 1.99e-04 | 1.2 it/s
step   2800 | mse 0.3316 | lr 1.99e-04 | 1.2 it/s
step   2900 | mse 0.2916 | lr 1.99e-04 | 1.2 it/s
step   3000 | mse 0.2937 | lr 1.99e-04 | 1.2 it/s
step   3100 | mse 0.2889 | lr 1.99e-04 | 1.2 it/s
step   3200 | mse 0.2873 | lr 1.99e-04 | 1.2 it/s
step   3300 | mse 0.2823 | lr 1.99e-04 | 1.2 it/s
step   3400 | mse 0.3109 | lr 1.99e-04 | 1.2 it/s
step   3500 | mse 0.3345 | lr 1.99e-04 | 1.2 it/s
step   3600 | mse 0.3059 | lr 1.99e-04 | 1.2 it/s
step   3700 | mse 0.3001 | lr 1.99e-04 | 1.2 it/s
step   3800 | mse 0.3175 | lr 1.98e-04 | 1.2 it/s
step   3900 | mse 0.2701 | lr 1.98e-04 | 1.2 it/s
step   4000 | mse 0.3062 | lr 1.98e-04 | 1.2 it/s
  [eval] step 4000 | EMA avg NMSE -8.32 dB (step1 -13.14, step10 -6.13) | raw -7.84 dB
step   4100 | mse 0.3037 | lr 1.98e-04 | 1.2 it/s
step   4200 | mse 0.2909 | lr 1.98e-04 | 1.2 it/s
step   4300 | mse 0.2836 | lr 1.98e-04 | 1.2 it/s
step   4400 | mse 0.3170 | lr 1.98e-04 | 1.2 it/s
step   4500 | mse 0.2835 | lr 1.98e-04 | 1.2 it/s
step   4600 | mse 0.3099 | lr 1.97e-04 | 1.2 it/s
step   4700 | mse 0.2846 | lr 1.97e-04 | 1.2 it/s
step   4800 | mse 0.2771 | lr 1.97e-04 | 1.2 it/s
step   4900 | mse 0.3134 | lr 1.97e-04 | 1.2 it/s
step   5000 | mse 0.2735 | lr 1.97e-04 | 1.2 it/s
step   5100 | mse 0.2817 | lr 1.97e-04 | 1.2 it/s
step   5200 | mse 0.2770 | lr 1.96e-04 | 1.2 it/s
step   5300 | mse 0.2849 | lr 1.96e-04 | 1.2 it/s
step   5400 | mse 0.2661 | lr 1.96e-04 | 1.2 it/s
step   5500 | mse 0.2757 | lr 1.96e-04 | 1.2 it/s
step   5600 | mse 0.2720 | lr 1.96e-04 | 1.2 it/s
step   5700 | mse 0.2801 | lr 1.96e-04 | 1.2 it/s
step   5800 | mse 0.2563 | lr 1.95e-04 | 1.2 it/s
step   5900 | mse 0.2661 | lr 1.95e-04 | 1.2 it/s
step   6000 | mse 0.2701 | lr 1.95e-04 | 1.2 it/s
  [eval] step 6000 | EMA avg NMSE -8.98 dB (step1 -14.10, step10 -6.67) | raw -8.75 dB
step   6100 | mse 0.2858 | lr 1.95e-04 | 1.2 it/s
step   6200 | mse 0.2847 | lr 1.95e-04 | 1.2 it/s
step   6300 | mse 0.2751 | lr 1.94e-04 | 1.2 it/s
step   6400 | mse 0.2867 | lr 1.94e-04 | 1.2 it/s
step   6500 | mse 0.2821 | lr 1.94e-04 | 1.2 it/s
step   6600 | mse 0.2735 | lr 1.94e-04 | 1.2 it/s
step   6700 | mse 0.2564 | lr 1.93e-04 | 1.2 it/s
step   6800 | mse 0.3222 | lr 1.93e-04 | 1.2 it/s
step   6900 | mse 0.2903 | lr 1.93e-04 | 1.2 it/s
step   7000 | mse 0.2636 | lr 1.93e-04 | 1.2 it/s
step   7100 | mse 0.2618 | lr 1.93e-04 | 1.2 it/s
step   7200 | mse 0.2531 | lr 1.92e-04 | 1.2 it/s
step   7300 | mse 0.2937 | lr 1.92e-04 | 1.2 it/s
step   7400 | mse 0.2811 | lr 1.92e-04 | 1.2 it/s
step   7500 | mse 0.2562 | lr 1.92e-04 | 1.2 it/s
step   7600 | mse 0.2559 | lr 1.91e-04 | 1.2 it/s
step   7700 | mse 0.2743 | lr 1.91e-04 | 1.2 it/s
step   7800 | mse 0.2861 | lr 1.91e-04 | 1.2 it/s
step   7900 | mse 0.2736 | lr 1.90e-04 | 1.2 it/s
step   8000 | mse 0.2627 | lr 1.90e-04 | 1.2 it/s
  [eval] step 8000 | EMA avg NMSE -9.50 dB (step1 -14.85, step10 -7.05) | raw -9.30 dB
step   8100 | mse 0.3004 | lr 1.90e-04 | 1.2 it/s
step   8200 | mse 0.2682 | lr 1.90e-04 | 1.2 it/s
step   8300 | mse 0.2364 | lr 1.89e-04 | 1.2 it/s
step   8400 | mse 0.2650 | lr 1.89e-04 | 1.2 it/s
step   8500 | mse 0.2389 | lr 1.89e-04 | 1.2 it/s
step   8600 | mse 0.2756 | lr 1.88e-04 | 1.2 it/s
step   8700 | mse 0.2657 | lr 1.88e-04 | 1.2 it/s
step   8800 | mse 0.2545 | lr 1.88e-04 | 1.2 it/s
step   8900 | mse 0.2681 | lr 1.88e-04 | 1.2 it/s
step   9000 | mse 0.2723 | lr 1.87e-04 | 1.2 it/s
step   9100 | mse 0.2593 | lr 1.87e-04 | 1.2 it/s
step   9200 | mse 0.2470 | lr 1.87e-04 | 1.2 it/s
step   9300 | mse 0.2286 | lr 1.86e-04 | 1.2 it/s
step   9400 | mse 0.2584 | lr 1.86e-04 | 1.2 it/s
step   9500 | mse 0.2293 | lr 1.86e-04 | 1.2 it/s
step   9600 | mse 0.2575 | lr 1.85e-04 | 1.2 it/s
step   9700 | mse 0.2506 | lr 1.85e-04 | 1.2 it/s
