===== SEQ2SEQ (diffusion/small) STARTED Sun Jul 26 13:50:08 CEST 2026 =====
objective=diffusion size=small params=0.698M steps=50000 batch=256 lr=0.0002 norm=global_std
global-std (mu, sd) = (0.0335, 0.7063)
step      0 | loss 0.0140 | lr 2.00e-07 | 0.5 it/s
step    100 | loss 0.0132 | lr 2.02e-05 | 2.1 it/s
step    200 | loss 0.0125 | lr 4.02e-05 | 2.1 it/s
step    300 | loss 0.0106 | lr 6.02e-05 | 2.2 it/s
step    400 | loss 0.0096 | lr 8.02e-05 | 2.2 it/s
step    500 | loss 0.0090 | lr 1.00e-04 | 2.1 it/s
step    600 | loss 0.0077 | lr 1.20e-04 | 2.1 it/s
step    700 | loss 0.0065 | lr 1.40e-04 | 2.1 it/s
step    800 | loss 0.0060 | lr 1.60e-04 | 2.2 it/s
step    900 | loss 0.0053 | lr 1.80e-04 | 2.2 it/s
step   1000 | loss 0.0053 | lr 2.00e-04 | 2.2 it/s
step   1100 | loss 0.0052 | lr 2.00e-04 | 2.2 it/s
step   1200 | loss 0.0050 | lr 2.00e-04 | 2.2 it/s
step   1300 | loss 0.0049 | lr 2.00e-04 | 2.2 it/s
step   1400 | loss 0.0047 | lr 2.00e-04 | 2.2 it/s
step   1500 | loss 0.0047 | lr 2.00e-04 | 2.2 it/s
step   1600 | loss 0.0047 | lr 2.00e-04 | 2.2 it/s
step   1700 | loss 0.0046 | lr 2.00e-04 | 2.1 it/s
step   1800 | loss 0.0042 | lr 2.00e-04 | 2.1 it/s
step   1900 | loss 0.0044 | lr 2.00e-04 | 2.1 it/s
step   2000 | loss 0.0043 | lr 2.00e-04 | 2.1 it/s
  [eval] step 2000 | EMA avg NMSE -2.68 dB (step1 -4.20, step10 -1.48)
step   2100 | loss 0.0042 | lr 2.00e-04 | 2.1 it/s
step   2200 | loss 0.0043 | lr 2.00e-04 | 2.1 it/s
step   2300 | loss 0.0043 | lr 2.00e-04 | 2.1 it/s
step   2400 | loss 0.0041 | lr 2.00e-04 | 2.1 it/s
step   2500 | loss 0.0041 | lr 2.00e-04 | 2.1 it/s
step   2600 | loss 0.0040 | lr 1.99e-04 | 2.1 it/s
step   2700 | loss 0.0038 | lr 1.99e-04 | 2.1 it/s
step   2800 | loss 0.0041 | lr 1.99e-04 | 2.1 it/s
step   2900 | loss 0.0038 | lr 1.99e-04 | 2.1 it/s
step   3000 | loss 0.0038 | lr 1.99e-04 | 2.2 it/s
step   3100 | loss 0.0038 | lr 1.99e-04 | 2.2 it/s
step   3200 | loss 0.0037 | lr 1.99e-04 | 2.2 it/s
