===== SEQ2SEQ (regression/large) STARTED Sun Jul 26 13:50:11 CEST 2026 =====
objective=regression size=large params=1.362M steps=50000 batch=256 lr=0.0002 norm=global_std
global-std (mu, sd) = (0.0326, 0.7064)
step      0 | loss 1.1590 | lr 2.00e-07 | 0.9 it/s
step    100 | loss 0.9930 | lr 2.02e-05 | 1.2 it/s
step    200 | loss 0.7772 | lr 4.02e-05 | 1.2 it/s
step    300 | loss 0.6309 | lr 6.02e-05 | 1.2 it/s
step    400 | loss 0.5716 | lr 8.02e-05 | 1.2 it/s
step    500 | loss 0.5510 | lr 1.00e-04 | 1.2 it/s
step    600 | loss 0.4881 | lr 1.20e-04 | 1.2 it/s
step    700 | loss 0.4333 | lr 1.40e-04 | 1.2 it/s
step    800 | loss 0.3999 | lr 1.60e-04 | 1.2 it/s
step    900 | loss 0.3648 | lr 1.80e-04 | 1.2 it/s
step   1000 | loss 0.3773 | lr 2.00e-04 | 1.2 it/s
step   1100 | loss 0.4179 | lr 2.00e-04 | 1.2 it/s
step   1200 | loss 0.3941 | lr 2.00e-04 | 1.2 it/s
step   1300 | loss 0.4184 | lr 2.00e-04 | 1.2 it/s
step   1400 | loss 0.3848 | lr 2.00e-04 | 1.2 it/s
step   1500 | loss 0.3847 | lr 2.00e-04 | 1.2 it/s
step   1600 | loss 0.4004 | lr 2.00e-04 | 1.2 it/s
step   1700 | loss 0.3774 | lr 2.00e-04 | 1.2 it/s
step   1800 | loss 0.3461 | lr 2.00e-04 | 1.2 it/s
step   1900 | loss 0.3541 | lr 2.00e-04 | 1.2 it/s
step   2000 | loss 0.3446 | lr 2.00e-04 | 1.2 it/s
  [eval] step 2000 | EMA avg NMSE -7.12 dB (step1 -11.28, step10 -5.14)
step   2100 | loss 0.3373 | lr 2.00e-04 | 1.2 it/s
step   2200 | loss 0.3505 | lr 2.00e-04 | 1.2 it/s
step   2300 | loss 0.3638 | lr 2.00e-04 | 1.2 it/s
step   2400 | loss 0.3385 | lr 2.00e-04 | 1.2 it/s
step   2500 | loss 0.3428 | lr 2.00e-04 | 1.2 it/s
step   2600 | loss 0.3190 | lr 1.99e-04 | 1.2 it/s
step   2700 | loss 0.2918 | lr 1.99e-04 | 1.2 it/s
step   2800 | loss 0.3246 | lr 1.99e-04 | 1.2 it/s
step   2900 | loss 0.2859 | lr 1.99e-04 | 1.2 it/s
step   3000 | loss 0.2908 | lr 1.99e-04 | 1.2 it/s
step   3100 | loss 0.2856 | lr 1.99e-04 | 1.2 it/s
step   3200 | loss 0.2763 | lr 1.99e-04 | 1.2 it/s
step   3300 | loss 0.2720 | lr 1.99e-04 | 1.2 it/s
step   3400 | loss 0.3086 | lr 1.99e-04 | 1.2 it/s
step   3500 | loss 0.3314 | lr 1.99e-04 | 1.2 it/s
step   3600 | loss 0.2998 | lr 1.99e-04 | 1.2 it/s
step   3700 | loss 0.2965 | lr 1.99e-04 | 1.2 it/s
step   3800 | loss 0.3085 | lr 1.98e-04 | 1.2 it/s
step   3900 | loss 0.2633 | lr 1.98e-04 | 1.2 it/s
step   4000 | loss 0.3034 | lr 1.98e-04 | 1.2 it/s
  [eval] step 4000 | EMA avg NMSE -8.14 dB (step1 -12.79, step10 -5.93)
step   4100 | loss 0.2969 | lr 1.98e-04 | 1.2 it/s
step   4200 | loss 0.2833 | lr 1.98e-04 | 1.2 it/s
step   4300 | loss 0.2755 | lr 1.98e-04 | 1.2 it/s
step   4400 | loss 0.3132 | lr 1.98e-04 | 1.2 it/s
step   4500 | loss 0.2789 | lr 1.98e-04 | 1.2 it/s
step   4600 | loss 0.3024 | lr 1.97e-04 | 1.2 it/s
step   4700 | loss 0.2794 | lr 1.97e-04 | 1.2 it/s
step   4800 | loss 0.2702 | lr 1.97e-04 | 1.2 it/s
step   4900 | loss 0.3091 | lr 1.97e-04 | 1.2 it/s
step   5000 | loss 0.2685 | lr 1.97e-04 | 1.2 it/s
step   5100 | loss 0.2789 | lr 1.97e-04 | 1.2 it/s
step   5200 | loss 0.2753 | lr 1.96e-04 | 1.2 it/s
step   5300 | loss 0.2759 | lr 1.96e-04 | 1.2 it/s
step   5400 | loss 0.2599 | lr 1.96e-04 | 1.2 it/s
step   5500 | loss 0.2674 | lr 1.96e-04 | 1.2 it/s
step   5600 | loss 0.2651 | lr 1.96e-04 | 1.2 it/s
step   5700 | loss 0.2777 | lr 1.96e-04 | 1.2 it/s
step   5800 | loss 0.2509 | lr 1.95e-04 | 1.2 it/s
step   5900 | loss 0.2615 | lr 1.95e-04 | 1.2 it/s
step   6000 | loss 0.2664 | lr 1.95e-04 | 1.2 it/s
  [eval] step 6000 | EMA avg NMSE -8.73 dB (step1 -13.68, step10 -6.39)
step   6100 | loss 0.2806 | lr 1.95e-04 | 1.2 it/s
step   6200 | loss 0.2812 | lr 1.95e-04 | 1.2 it/s
step   6300 | loss 0.2679 | lr 1.94e-04 | 1.2 it/s
step   6400 | loss 0.2839 | lr 1.94e-04 | 1.2 it/s
step   6500 | loss 0.2764 | lr 1.94e-04 | 1.2 it/s
step   6600 | loss 0.2693 | lr 1.94e-04 | 1.2 it/s
step   6700 | loss 0.2502 | lr 1.93e-04 | 1.2 it/s
step   6800 | loss 0.3161 | lr 1.93e-04 | 1.2 it/s
step   6900 | loss 0.2874 | lr 1.93e-04 | 1.2 it/s
step   7000 | loss 0.2598 | lr 1.93e-04 | 1.2 it/s
step   7100 | loss 0.2512 | lr 1.93e-04 | 1.2 it/s
step   7200 | loss 0.2493 | lr 1.92e-04 | 1.2 it/s
step   7300 | loss 0.2877 | lr 1.92e-04 | 1.2 it/s
step   7400 | loss 0.2762 | lr 1.92e-04 | 1.2 it/s
step   7500 | loss 0.2475 | lr 1.92e-04 | 1.2 it/s
step   7600 | loss 0.2514 | lr 1.91e-04 | 1.2 it/s
step   7700 | loss 0.2692 | lr 1.91e-04 | 1.2 it/s
step   7800 | loss 0.2836 | lr 1.91e-04 | 1.2 it/s
