===== TRAIN STARTED AT Wed Jul  1 16:44:21 CEST 2026 =====
device=cuda out_dir=runs/mf_6790263 steps=50000 batch=128 lr=0.0002
building fixed validation set ...
step      0 | mse 1.2617 | lr 2.00e-07 | 0.4 it/s
step    100 | mse 1.2417 | lr 2.02e-05 | 1.8 it/s
step    200 | mse 1.1456 | lr 4.02e-05 | 1.9 it/s
step    300 | mse 1.5633 | lr 6.02e-05 | 1.9 it/s
step    400 | mse 2.0176 | lr 8.02e-05 | 1.9 it/s
step    500 | mse 2.6248 | lr 1.00e-04 | 1.9 it/s
step    600 | mse 3.5758 | lr 1.20e-04 | 1.9 it/s
step    700 | mse 3.9287 | lr 1.40e-04 | 1.9 it/s
step    800 | mse 4.0420 | lr 1.60e-04 | 1.9 it/s
step    900 | mse 3.2888 | lr 1.80e-04 | 1.9 it/s
step   1000 | mse 2.7003 | lr 2.00e-04 | 1.9 it/s
step   1100 | mse 2.0841 | lr 2.00e-04 | 1.9 it/s
step   1200 | mse 1.6731 | lr 2.00e-04 | 1.9 it/s
step   1300 | mse 1.4063 | lr 2.00e-04 | 1.9 it/s
step   1400 | mse 1.1131 | lr 2.00e-04 | 1.9 it/s
step   1500 | mse 0.9944 | lr 2.00e-04 | 1.9 it/s
step   1600 | mse 0.8655 | lr 2.00e-04 | 1.9 it/s
step   1700 | mse 0.7892 | lr 2.00e-04 | 1.9 it/s
step   1800 | mse 0.7055 | lr 2.00e-04 | 1.9 it/s
step   1900 | mse 0.5768 | lr 2.00e-04 | 1.9 it/s
step   2000 | mse 0.5705 | lr 2.00e-04 | 1.9 it/s
  [eval] step 2000 | avg NMSE 6.69 dB (step1 6.53, step10 6.63)
step   2100 | mse 0.5399 | lr 2.00e-04 | 1.9 it/s
step   2200 | mse 0.5262 | lr 2.00e-04 | 1.9 it/s
step   2300 | mse 0.4696 | lr 2.00e-04 | 1.9 it/s
step   2400 | mse 0.4701 | lr 2.00e-04 | 1.9 it/s
step   2500 | mse 0.4353 | lr 2.00e-04 | 1.9 it/s
step   2600 | mse 0.4059 | lr 2.00e-04 | 1.9 it/s
step   2700 | mse 0.4356 | lr 2.00e-04 | 1.9 it/s
step   2800 | mse 0.3936 | lr 2.00e-04 | 1.9 it/s
step   2900 | mse 0.4175 | lr 2.00e-04 | 1.9 it/s
step   3000 | mse 0.3911 | lr 2.00e-04 | 1.9 it/s
step   3100 | mse 0.3343 | lr 2.00e-04 | 1.9 it/s
step   3200 | mse 0.3727 | lr 2.00e-04 | 1.9 it/s
step   3300 | mse 0.3755 | lr 2.00e-04 | 1.9 it/s
step   3400 | mse 0.3556 | lr 2.00e-04 | 1.9 it/s
step   3500 | mse 0.3625 | lr 2.00e-04 | 1.9 it/s
step   3600 | mse 0.3746 | lr 2.00e-04 | 1.9 it/s
step   3700 | mse 0.3868 | lr 2.00e-04 | 1.9 it/s
step   3800 | mse 0.3879 | lr 2.00e-04 | 1.9 it/s
step   3900 | mse 0.4418 | lr 2.00e-04 | 1.9 it/s
step   4000 | mse 0.3383 | lr 2.00e-04 | 1.9 it/s
  [eval] step 4000 | avg NMSE 5.55 dB (step1 5.27, step10 5.53)
step   4100 | mse 0.3716 | lr 2.00e-04 | 1.9 it/s
step   4200 | mse 0.4067 | lr 2.00e-04 | 1.9 it/s
step   4300 | mse 0.3224 | lr 2.00e-04 | 1.9 it/s
step   4400 | mse 0.3545 | lr 2.00e-04 | 1.9 it/s
step   4500 | mse 0.2778 | lr 2.00e-04 | 1.9 it/s
step   4600 | mse 0.3163 | lr 2.00e-04 | 1.9 it/s
step   4700 | mse 0.3266 | lr 2.00e-04 | 1.9 it/s
step   4800 | mse 0.3158 | lr 2.00e-04 | 1.9 it/s
step   4900 | mse 0.3105 | lr 2.00e-04 | 1.9 it/s
step   5000 | mse 0.2944 | lr 2.00e-04 | 1.9 it/s
step   5100 | mse 0.3278 | lr 2.00e-04 | 1.9 it/s
step   5200 | mse 0.3546 | lr 2.00e-04 | 1.9 it/s
step   5300 | mse 0.2709 | lr 2.00e-04 | 1.9 it/s
step   5400 | mse 0.2854 | lr 2.00e-04 | 1.9 it/s
step   5500 | mse 0.3079 | lr 2.00e-04 | 1.9 it/s
step   5600 | mse 0.2906 | lr 2.00e-04 | 1.9 it/s
step   5700 | mse 0.2974 | lr 2.00e-04 | 1.9 it/s
step   5800 | mse 0.3109 | lr 2.00e-04 | 1.9 it/s
step   5900 | mse 0.2828 | lr 2.00e-04 | 1.9 it/s
step   6000 | mse 0.2662 | lr 2.00e-04 | 1.9 it/s
  [eval] step 6000 | avg NMSE 3.71 dB (step1 3.42, step10 3.78)
step   6100 | mse 0.2853 | lr 2.00e-04 | 1.9 it/s
step   6200 | mse 0.3058 | lr 2.00e-04 | 1.9 it/s
step   6300 | mse 0.2710 | lr 2.00e-04 | 1.9 it/s
step   6400 | mse 0.2594 | lr 2.00e-04 | 1.9 it/s
step   6500 | mse 0.2460 | lr 2.00e-04 | 1.9 it/s
step   6600 | mse 0.2731 | lr 2.00e-04 | 1.9 it/s
step   6700 | mse 0.2375 | lr 2.00e-04 | 1.9 it/s
step   6800 | mse 0.3174 | lr 2.00e-04 | 1.9 it/s
step   6900 | mse 0.2468 | lr 2.00e-04 | 1.9 it/s
step   7000 | mse 0.2763 | lr 2.00e-04 | 1.9 it/s
step   7100 | mse 0.2126 | lr 2.00e-04 | 1.9 it/s
step   7200 | mse 0.2515 | lr 2.00e-04 | 1.9 it/s
step   7300 | mse 0.2663 | lr 2.00e-04 | 1.9 it/s
step   7400 | mse 0.2515 | lr 2.00e-04 | 1.9 it/s
step   7500 | mse 0.2385 | lr 2.00e-04 | 1.9 it/s
step   7600 | mse 0.2488 | lr 2.00e-04 | 1.9 it/s
step   7700 | mse 0.2184 | lr 2.00e-04 | 1.9 it/s
step   7800 | mse 0.2289 | lr 2.00e-04 | 1.9 it/s
step   7900 | mse 0.2521 | lr 2.00e-04 | 1.9 it/s
step   8000 | mse 0.2427 | lr 2.00e-04 | 1.9 it/s
  [eval] step 8000 | avg NMSE 1.82 dB (step1 1.21, step10 2.09)
