===== TRAIN STARTED AT Fri Jul  3 14:14:52 CEST 2026 =====
device=cuda out_dir=runs/mf_6795000 steps=80000 batch=512 lr=0.001
building fixed validation set ...
step      0 | mse 1.1877 | lr 1.00e-06 | 0.4 it/s
step    100 | mse 1.1420 | lr 1.01e-04 | 0.6 it/s
step    200 | mse 3.3372 | lr 2.01e-04 | 0.6 it/s
step    300 | mse 6.9161 | lr 3.01e-04 | 0.6 it/s
step    400 | mse 4.1924 | lr 4.01e-04 | 0.6 it/s
step    500 | mse 2.1913 | lr 5.01e-04 | 0.6 it/s
step    600 | mse 1.2215 | lr 6.01e-04 | 0.6 it/s
step    700 | mse 0.8894 | lr 7.01e-04 | 0.6 it/s
step    800 | mse 0.8144 | lr 8.01e-04 | 0.6 it/s
step    900 | mse 0.7703 | lr 9.01e-04 | 0.6 it/s
step   1000 | mse 0.6868 | lr 1.00e-03 | 0.6 it/s
step   1100 | mse 0.6341 | lr 1.00e-03 | 0.6 it/s
step   1200 | mse 0.6201 | lr 1.00e-03 | 0.6 it/s
step   1300 | mse 0.5414 | lr 1.00e-03 | 0.6 it/s
step   1400 | mse 0.5187 | lr 1.00e-03 | 0.6 it/s
step   1500 | mse 0.4546 | lr 1.00e-03 | 0.6 it/s
step   1600 | mse 0.4166 | lr 1.00e-03 | 0.6 it/s
step   1700 | mse 0.4684 | lr 1.00e-03 | 0.6 it/s
step   1800 | mse 0.4149 | lr 1.00e-03 | 0.6 it/s
step   1900 | mse 0.3884 | lr 1.00e-03 | 0.6 it/s
step   2000 | mse 0.3478 | lr 1.00e-03 | 0.6 it/s
  [eval] step 2000 | EMA avg NMSE -1.07 dB (step1 -9.30, step10 2.16) | raw 2.27 dB
step   2100 | mse 0.3584 | lr 1.00e-03 | 0.6 it/s
step   2200 | mse 0.3685 | lr 9.99e-04 | 0.6 it/s
step   2300 | mse 0.4161 | lr 9.99e-04 | 0.6 it/s
step   2400 | mse 0.3747 | lr 9.99e-04 | 0.6 it/s
step   2500 | mse 0.3775 | lr 9.99e-04 | 0.6 it/s
step   2600 | mse 0.3391 | lr 9.99e-04 | 0.6 it/s
step   2700 | mse 0.3377 | lr 9.99e-04 | 0.6 it/s
step   2800 | mse 0.3274 | lr 9.99e-04 | 0.6 it/s
step   2900 | mse 0.3318 | lr 9.99e-04 | 0.6 it/s
step   3000 | mse 0.3161 | lr 9.98e-04 | 0.6 it/s
step   3100 | mse 0.3197 | lr 9.98e-04 | 0.6 it/s
step   3200 | mse 0.3326 | lr 9.98e-04 | 0.6 it/s
step   3300 | mse 0.2996 | lr 9.98e-04 | 0.6 it/s
step   3400 | mse 0.3040 | lr 9.98e-04 | 0.6 it/s
step   3500 | mse 0.3224 | lr 9.98e-04 | 0.6 it/s
step   3600 | mse 0.3560 | lr 9.97e-04 | 0.6 it/s
step   3700 | mse 0.3536 | lr 9.97e-04 | 0.6 it/s
step   3800 | mse 0.3021 | lr 9.97e-04 | 0.6 it/s
step   3900 | mse 0.2847 | lr 9.97e-04 | 0.6 it/s
step   4000 | mse 0.2871 | lr 9.96e-04 | 0.6 it/s
  [eval] step 4000 | EMA avg NMSE 1.29 dB (step1 -9.72, step10 4.88) | raw 3.00 dB
step   4100 | mse 0.3458 | lr 9.96e-04 | 0.6 it/s
step   4200 | mse 0.2956 | lr 9.96e-04 | 0.6 it/s
step   4300 | mse 0.2811 | lr 9.96e-04 | 0.6 it/s
step   4400 | mse 0.3022 | lr 9.95e-04 | 0.6 it/s
step   4500 | mse 0.2804 | lr 9.95e-04 | 0.6 it/s
step   4600 | mse 0.2849 | lr 9.95e-04 | 0.6 it/s
step   4700 | mse 0.3021 | lr 9.95e-04 | 0.6 it/s
step   4800 | mse 0.2788 | lr 9.94e-04 | 0.6 it/s
step   4900 | mse 0.3356 | lr 9.94e-04 | 0.6 it/s
step   5000 | mse 0.3395 | lr 9.94e-04 | 0.6 it/s
step   5100 | mse 0.2968 | lr 9.93e-04 | 0.6 it/s
