===== TRAIN STARTED AT Fri Jul  3 21:09:12 CEST 2026 =====
device=cuda out_dir=runs/mf_6795740 steps=50000 batch=256 lr=0.0002 source_std=0.2 mean_samples=1
building fixed validation set ...
step      0 | mse 0.2317 | lr 2.00e-07 | 0.3 it/s
step    100 | mse 0.1649 | lr 2.02e-05 | 1.1 it/s
step    200 | mse 0.1702 | lr 4.02e-05 | 1.1 it/s
step    300 | mse 0.2923 | lr 6.02e-05 | 1.1 it/s
step    400 | mse 0.3734 | lr 8.02e-05 | 1.1 it/s
step    500 | mse 0.3985 | lr 1.00e-04 | 1.1 it/s
step    600 | mse 0.3960 | lr 1.20e-04 | 1.1 it/s
step    700 | mse 0.4098 | lr 1.40e-04 | 1.1 it/s
step    800 | mse 0.3815 | lr 1.60e-04 | 1.1 it/s
step    900 | mse 0.3187 | lr 1.80e-04 | 1.1 it/s
step   1000 | mse 0.3400 | lr 2.00e-04 | 1.1 it/s
step   1100 | mse 0.2846 | lr 2.00e-04 | 1.1 it/s
step   1200 | mse 0.3060 | lr 2.00e-04 | 1.1 it/s
step   1300 | mse 0.3255 | lr 2.00e-04 | 1.1 it/s
step   1400 | mse 0.3461 | lr 2.00e-04 | 1.1 it/s
step   1500 | mse 0.4470 | lr 2.00e-04 | 1.1 it/s
step   1600 | mse 0.4781 | lr 2.00e-04 | 1.1 it/s
step   1700 | mse 0.4093 | lr 2.00e-04 | 1.1 it/s
step   1800 | mse 0.3940 | lr 2.00e-04 | 1.1 it/s
step   1900 | mse 0.3043 | lr 2.00e-04 | 1.1 it/s
step   2000 | mse 0.3294 | lr 2.00e-04 | 1.1 it/s
  [eval] step 2000 | EMA avg NMSE -0.18 dB (step1 -9.47, step10 2.44) | raw 0.33 dB
step   2100 | mse 0.2952 | lr 2.00e-04 | 1.1 it/s
step   2200 | mse 0.2700 | lr 2.00e-04 | 1.1 it/s
step   2300 | mse 0.2755 | lr 2.00e-04 | 1.1 it/s
step   2400 | mse 0.2820 | lr 2.00e-04 | 1.1 it/s
step   2500 | mse 0.2788 | lr 2.00e-04 | 1.1 it/s
step   2600 | mse 0.2689 | lr 1.99e-04 | 1.1 it/s
step   2700 | mse 0.2794 | lr 1.99e-04 | 1.1 it/s
step   2800 | mse 0.2498 | lr 1.99e-04 | 1.1 it/s
step   2900 | mse 0.2471 | lr 1.99e-04 | 1.1 it/s
step   3000 | mse 0.2662 | lr 1.99e-04 | 1.1 it/s
step   3100 | mse 0.2476 | lr 1.99e-04 | 1.1 it/s
step   3200 | mse 0.2486 | lr 1.99e-04 | 1.1 it/s
step   3300 | mse 0.2405 | lr 1.99e-04 | 1.1 it/s
step   3400 | mse 0.2434 | lr 1.99e-04 | 1.1 it/s
step   3500 | mse 0.2050 | lr 1.99e-04 | 1.1 it/s
step   3600 | mse 0.2158 | lr 1.99e-04 | 1.1 it/s
step   3700 | mse 0.2294 | lr 1.99e-04 | 1.1 it/s
step   3800 | mse 0.2214 | lr 1.98e-04 | 1.1 it/s
step   3900 | mse 0.2711 | lr 1.98e-04 | 1.1 it/s
step   4000 | mse 0.2252 | lr 1.98e-04 | 1.1 it/s
  [eval] step 4000 | EMA avg NMSE -1.61 dB (step1 -13.31, step10 1.71) | raw 0.51 dB
step   4100 | mse 0.2436 | lr 1.98e-04 | 1.1 it/s
step   4200 | mse 0.2147 | lr 1.98e-04 | 1.1 it/s
step   4300 | mse 0.2019 | lr 1.98e-04 | 1.1 it/s
step   4400 | mse 0.1750 | lr 1.98e-04 | 1.1 it/s
step   4500 | mse 0.2047 | lr 1.98e-04 | 1.1 it/s
step   4600 | mse 0.2048 | lr 1.97e-04 | 1.1 it/s
step   4700 | mse 0.2158 | lr 1.97e-04 | 1.1 it/s
step   4800 | mse 0.2128 | lr 1.97e-04 | 1.1 it/s
step   4900 | mse 0.2146 | lr 1.97e-04 | 1.1 it/s
step   5000 | mse 0.1759 | lr 1.97e-04 | 1.1 it/s
step   5100 | mse 0.1645 | lr 1.97e-04 | 1.1 it/s
step   5200 | mse 0.1813 | lr 1.96e-04 | 1.1 it/s
step   5300 | mse 0.1872 | lr 1.96e-04 | 1.1 it/s
step   5400 | mse 0.1740 | lr 1.96e-04 | 1.1 it/s
step   5500 | mse 0.1745 | lr 1.96e-04 | 1.1 it/s
step   5600 | mse 0.1767 | lr 1.96e-04 | 1.1 it/s
step   5700 | mse 0.1706 | lr 1.96e-04 | 1.1 it/s
step   5800 | mse 0.1642 | lr 1.95e-04 | 1.1 it/s
step   5900 | mse 0.1807 | lr 1.95e-04 | 1.1 it/s
step   6000 | mse 0.1520 | lr 1.95e-04 | 1.1 it/s
  [eval] step 6000 | EMA avg NMSE -2.07 dB (step1 -14.90, step10 1.61) | raw -0.78 dB
step   6100 | mse 0.1476 | lr 1.95e-04 | 1.1 it/s
step   6200 | mse 0.1633 | lr 1.95e-04 | 1.1 it/s
step   6300 | mse 0.1568 | lr 1.94e-04 | 1.1 it/s
step   6400 | mse 0.1422 | lr 1.94e-04 | 1.1 it/s
step   6500 | mse 0.1420 | lr 1.94e-04 | 1.1 it/s
