===== TRAIN STARTED AT Fri Jul 24 17:02:34 CEST 2026 =====
device=cuda out_dir=runs/mf_6913678 steps=50000 batch=256 lr=0.0002 source_std=1.0 mean_samples=1
building fixed validation set ...
step      0 | mse 1.9944 | mu_mse 0.9727 | lr 2.00e-07 | 0.3 it/s
step    100 | mse 1.9611 | mu_mse 0.9771 | lr 2.02e-05 | 1.1 it/s
step    200 | mse 1.7910 | mu_mse 0.8252 | lr 4.02e-05 | 1.1 it/s
step    300 | mse 2.4346 | mu_mse 0.5649 | lr 6.02e-05 | 1.1 it/s
step    400 | mse 2.5317 | mu_mse 0.4212 | lr 8.02e-05 | 1.1 it/s
step    500 | mse 2.8535 | mu_mse 0.3673 | lr 1.00e-04 | 1.1 it/s
step    600 | mse 4.0869 | mu_mse 0.3413 | lr 1.20e-04 | 1.1 it/s
step    700 | mse 4.6394 | mu_mse 0.3177 | lr 1.40e-04 | 1.1 it/s
step    800 | mse 4.1921 | mu_mse 0.2960 | lr 1.60e-04 | 1.1 it/s
step    900 | mse 3.7063 | mu_mse 0.2745 | lr 1.80e-04 | 1.1 it/s
step   1000 | mse 3.0773 | mu_mse 0.2743 | lr 2.00e-04 | 1.1 it/s
step   1100 | mse 2.5212 | mu_mse 0.2729 | lr 2.00e-04 | 1.1 it/s
step   1200 | mse 2.2626 | mu_mse 0.2646 | lr 2.00e-04 | 1.1 it/s
step   1300 | mse 1.9287 | mu_mse 0.2693 | lr 2.00e-04 | 1.1 it/s
step   1400 | mse 1.7985 | mu_mse 0.2542 | lr 2.00e-04 | 1.1 it/s
step   1500 | mse 1.8193 | mu_mse 0.2544 | lr 2.00e-04 | 1.1 it/s
step   1600 | mse 1.9742 | mu_mse 0.2609 | lr 2.00e-04 | 1.1 it/s
step   1700 | mse 1.7494 | mu_mse 0.2490 | lr 2.00e-04 | 1.1 it/s
step   1800 | mse 1.6920 | mu_mse 0.2317 | lr 2.00e-04 | 1.1 it/s
step   1900 | mse 1.5196 | mu_mse 0.2400 | lr 2.00e-04 | 1.1 it/s
step   2000 | mse 1.5626 | mu_mse 0.2355 | lr 2.00e-04 | 1.1 it/s
  [eval] step 2000 | EMA avg NMSE -4.35 dB (step1 -12.56, step10 -1.34) | raw -3.87 dB
step   2100 | mse 1.5228 | mu_mse 0.2281 | lr 2.00e-04 | 1.1 it/s
step   2200 | mse 1.6449 | mu_mse 0.2370 | lr 2.00e-04 | 1.1 it/s
step   2300 | mse 1.5447 | mu_mse 0.2405 | lr 2.00e-04 | 1.1 it/s
step   2400 | mse 1.4135 | mu_mse 0.2295 | lr 2.00e-04 | 1.1 it/s
step   2500 | mse 1.5401 | mu_mse 0.2277 | lr 2.00e-04 | 1.1 it/s
step   2600 | mse 1.6117 | mu_mse 0.2217 | lr 1.99e-04 | 1.1 it/s
step   2700 | mse 1.3985 | mu_mse 0.2039 | lr 1.99e-04 | 1.1 it/s
step   2800 | mse 1.4298 | mu_mse 0.2197 | lr 1.99e-04 | 1.1 it/s
step   2900 | mse 1.3137 | mu_mse 0.2047 | lr 1.99e-04 | 1.1 it/s
step   3000 | mse 1.4317 | mu_mse 0.2071 | lr 1.99e-04 | 1.1 it/s
step   3100 | mse 1.4035 | mu_mse 0.2023 | lr 1.99e-04 | 1.1 it/s
step   3200 | mse 1.3720 | mu_mse 0.1999 | lr 1.99e-04 | 1.1 it/s
step   3300 | mse 1.2203 | mu_mse 0.1976 | lr 1.99e-04 | 1.1 it/s
step   3400 | mse 1.3123 | mu_mse 0.2116 | lr 1.99e-04 | 1.1 it/s
step   3500 | mse 1.3413 | mu_mse 0.2247 | lr 1.99e-04 | 1.1 it/s
step   3600 | mse 1.2911 | mu_mse 0.2098 | lr 1.99e-04 | 1.1 it/s
step   3700 | mse 1.3260 | mu_mse 0.2062 | lr 1.99e-04 | 1.1 it/s
step   3800 | mse 1.4115 | mu_mse 0.2145 | lr 1.98e-04 | 1.1 it/s
step   3900 | mse 1.1995 | mu_mse 0.1904 | lr 1.98e-04 | 1.1 it/s
step   4000 | mse 1.2151 | mu_mse 0.2097 | lr 1.98e-04 | 1.1 it/s
  [eval] step 4000 | EMA avg NMSE -5.61 dB (step1 -14.96, step10 -2.02) | raw -4.66 dB
step   4100 | mse 1.2936 | mu_mse 0.2072 | lr 1.98e-04 | 1.1 it/s
step   4200 | mse 1.2861 | mu_mse 0.1982 | lr 1.98e-04 | 1.1 it/s
step   4300 | mse 1.3077 | mu_mse 0.1960 | lr 1.98e-04 | 1.1 it/s
step   4400 | mse 1.2504 | mu_mse 0.2128 | lr 1.98e-04 | 1.1 it/s
step   4500 | mse 1.2474 | mu_mse 0.1978 | lr 1.98e-04 | 1.1 it/s
step   4600 | mse 1.2177 | mu_mse 0.2114 | lr 1.97e-04 | 1.1 it/s
step   4700 | mse 1.2806 | mu_mse 0.1992 | lr 1.97e-04 | 1.1 it/s
step   4800 | mse 1.1815 | mu_mse 0.1946 | lr 1.97e-04 | 1.1 it/s
step   4900 | mse 1.2070 | mu_mse 0.2146 | lr 1.97e-04 | 1.1 it/s
step   5000 | mse 1.1304 | mu_mse 0.1891 | lr 1.97e-04 | 1.1 it/s
step   5100 | mse 1.1715 | mu_mse 0.1971 | lr 1.97e-04 | 1.1 it/s
step   5200 | mse 1.1279 | mu_mse 0.1967 | lr 1.96e-04 | 1.1 it/s
step   5300 | mse 1.1976 | mu_mse 0.1972 | lr 1.96e-04 | 1.1 it/s
step   5400 | mse 1.0938 | mu_mse 0.1896 | lr 1.96e-04 | 1.1 it/s
step   5500 | mse 1.1352 | mu_mse 0.1933 | lr 1.96e-04 | 1.1 it/s
step   5600 | mse 1.1441 | mu_mse 0.1911 | lr 1.96e-04 | 1.1 it/s
step   5700 | mse 1.2998 | mu_mse 0.1985 | lr 1.96e-04 | 1.1 it/s
step   5800 | mse 1.0153 | mu_mse 0.1804 | lr 1.95e-04 | 1.1 it/s
step   5900 | mse 1.0454 | mu_mse 0.1913 | lr 1.95e-04 | 1.1 it/s
step   6000 | mse 1.0762 | mu_mse 0.1902 | lr 1.95e-04 | 1.1 it/s
  [eval] step 6000 | EMA avg NMSE -5.39 dB (step1 -15.40, step10 -1.58) | raw -3.37 dB
step   6100 | mse 1.1673 | mu_mse 0.1990 | lr 1.95e-04 | 1.1 it/s
step   6200 | mse 1.1247 | mu_mse 0.2022 | lr 1.95e-04 | 1.1 it/s
step   6300 | mse 1.0730 | mu_mse 0.1903 | lr 1.94e-04 | 1.1 it/s
step   6400 | mse 1.1135 | mu_mse 0.2022 | lr 1.94e-04 | 1.1 it/s
step   6500 | mse 1.0209 | mu_mse 0.1953 | lr 1.94e-04 | 1.1 it/s
step   6600 | mse 1.0513 | mu_mse 0.1931 | lr 1.94e-04 | 1.1 it/s
step   6700 | mse 0.9858 | mu_mse 0.1815 | lr 1.93e-04 | 1.1 it/s
step   6800 | mse 1.1304 | mu_mse 0.2184 | lr 1.93e-04 | 1.1 it/s
step   6900 | mse 1.0365 | mu_mse 0.2032 | lr 1.93e-04 | 1.1 it/s
step   7000 | mse 1.0239 | mu_mse 0.1876 | lr 1.93e-04 | 1.1 it/s
step   7100 | mse 1.0261 | mu_mse 0.1841 | lr 1.93e-04 | 1.1 it/s
step   7200 | mse 0.9864 | mu_mse 0.1822 | lr 1.92e-04 | 1.1 it/s
step   7300 | mse 1.0322 | mu_mse 0.2072 | lr 1.92e-04 | 1.1 it/s
step   7400 | mse 1.0074 | mu_mse 0.1996 | lr 1.92e-04 | 1.1 it/s
step   7500 | mse 1.0288 | mu_mse 0.1808 | lr 1.92e-04 | 1.1 it/s
step   7600 | mse 0.9868 | mu_mse 0.1822 | lr 1.91e-04 | 1.1 it/s
step   7700 | mse 1.0042 | mu_mse 0.1932 | lr 1.91e-04 | 1.1 it/s
step   7800 | mse 1.0370 | mu_mse 0.1984 | lr 1.91e-04 | 1.1 it/s
step   7900 | mse 1.0260 | mu_mse 0.1925 | lr 1.90e-04 | 1.1 it/s
step   8000 | mse 1.0084 | mu_mse 0.1833 | lr 1.90e-04 | 1.1 it/s
  [eval] step 8000 | EMA avg NMSE -5.72 dB (step1 -15.33, step10 -1.84) | raw -4.27 dB
step   8100 | mse 1.0310 | mu_mse 0.2131 | lr 1.90e-04 | 1.1 it/s
step   8200 | mse 1.0412 | mu_mse 0.1899 | lr 1.90e-04 | 1.1 it/s
step   8300 | mse 0.8683 | mu_mse 0.1723 | lr 1.89e-04 | 1.1 it/s
step   8400 | mse 0.9032 | mu_mse 0.1911 | lr 1.89e-04 | 1.1 it/s
step   8500 | mse 0.7672 | mu_mse 0.1713 | lr 1.89e-04 | 1.1 it/s
step   8600 | mse 0.8747 | mu_mse 0.1970 | lr 1.88e-04 | 1.1 it/s
step   8700 | mse 1.0135 | mu_mse 0.1857 | lr 1.88e-04 | 1.1 it/s
step   8800 | mse 0.8939 | mu_mse 0.1785 | lr 1.88e-04 | 1.1 it/s
step   8900 | mse 0.9503 | mu_mse 0.1965 | lr 1.88e-04 | 1.1 it/s
step   9000 | mse 0.9095 | mu_mse 0.1886 | lr 1.87e-04 | 1.1 it/s
step   9100 | mse 0.8730 | mu_mse 0.1799 | lr 1.87e-04 | 1.1 it/s
step   9200 | mse 0.9419 | mu_mse 0.1785 | lr 1.87e-04 | 1.1 it/s
step   9300 | mse 0.8764 | mu_mse 0.1672 | lr 1.86e-04 | 1.1 it/s
step   9400 | mse 0.8983 | mu_mse 0.1824 | lr 1.86e-04 | 1.1 it/s
step   9500 | mse 0.9409 | mu_mse 0.1670 | lr 1.86e-04 | 1.1 it/s
step   9600 | mse 0.8674 | mu_mse 0.1839 | lr 1.85e-04 | 1.1 it/s
step   9700 | mse 0.8861 | mu_mse 0.1836 | lr 1.85e-04 | 1.1 it/s
step   9800 | mse 0.8829 | mu_mse 0.1986 | lr 1.85e-04 | 1.1 it/s
